ProjectFocus,Shannon
Field10,803.604209
Field10,626.4444365
Field10,771.3560738
Field10,892.8190017
Acacia mangiumO,565.7424001
Acacia mangiumO,601.1755922
Acacia mangiumO,701.3926493
Field2,868.4748448
Field2,893.1434789
Field2,991.7651717
Field2,692.1386449
Mahogany (Swietenia macrophylla),702.2756293
Mahogany (Swietenia macrophylla),725.674557
Mahogany (Swietenia macrophylla),820.7489688
Narra (Pterocarpus indicus),669.2436706
Narra (Pterocarpus indicus),632.1492514
Narra (Pterocarpus indicus),655.7029076
Saccharum spp.,921.5160997
Saccharum spp.,840.0568635
Saccharum spp.,642.445668
Acacia mangiumY,388.2984483
Acacia mangiumY,670.9131671
Acacia mangiumY,603.9809989
Coccus nucifera,743.6539262
Coccus nucifera,167.0409549
Coccus nucifera,517.6082837
Imperata cylindrica,941.4935585
Imperata cylindrica,873.9798776
Imperata cylindrica,690.6668687
